row,asset,helm_catalog_id,family,description,s52_instruction,s52_asset_kind,s57_object_class,s57_lookup_id,s57_rcid,s57_conditions,art_state,visual_approval,chart1_evidence_status,chart1_gate_status,chart1_crop_id,chart1_pages,chart1_verdict,chart1_reason_codes,s101_coverage,s101_symbol_id,s101_symbol_file,s101_feature_rule,s101_license_status,commons_pd_candidate_count,commons_candidate_titles,chart1_mappings_int1_refs,canonical_symbol_ids,canonical_paths,next_action,forbidden_sources
1,ACHARE02,OBSTRN_ACHARE02_1193,wreck_rock_obstruction,"anchorage area as a point at small scale, or anchor points of mooring trot at large scale",SY(ACHARE02),symbol,OBSTRN,1193,31245,CATOBS9; VALSOU,external_pd_candidate_needs_review,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,exact_symbol_match,ACHARE02,PortrayalCatalog/Symbols/ACHARE02.svg,Obstruction,license_pending_reference,3,File:NChart ECDIS Anchorage Point.svg; File:NChart ECDIS Anchorage SingleBerth.svg; File:NChart-Symbol INT Anchorage.svg,Q44,,,Review Commons candidate license and semantic mapping; promote only after visual QA.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
2,ACHARE51,ACHARE_ACHARE51_2,areas_patterns_lines,boundary of an anchorage area,SY(ACHARE51);CS(RESARE02),symbol,ACHARE,2,32038,,external_pd_candidate_needs_review,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,exact_symbol_match,ACHARE51,PortrayalCatalog/Symbols/ACHARE51.svg,AnchorageArea,license_pending_reference,4,File:NChart ECDIS Anchorage Area.svg; File:NChart ECDIS No Anchorage Area.svg; File:NChart-Symbol INT Anchorage Area.svg; File:NChart-Symbol INT No Anchorage Area.svg,Q44,,,Review Commons candidate license and semantic mapping; promote only after visual QA.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
3,ACHBRT07,ACHBRT_ACHBRT07_3,ugly_attribute_edges,designated anchor berth for a single vessel,"SY(ACHBRT07);TE('%s','OBJNAM',3,1,2,'15110',1,0,CHBLK,29);LS(DASH,2,CHMGF)",symbol,ACHBRT,3,32039,,license_blocked_reference_only,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,exact_symbol_match,ACHBRT07,PortrayalCatalog/Symbols/ACHBRT07.svg,AnchorBerth,license_pending_reference,0,,,,,Use S-101/external art as reference only; generate owned art or clear license before packaging.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
4,ACHPNT01,ACHPNT_ACHPNT01_963,ugly_attribute_edges,anchor,SY(ACHPNT01),symbol,ACHPNT,963,31015,,generate_owned,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,none,,,,not_found_by_exact_asset_id,0,,,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
5,ACHRES61,$CSYMB_ACHRES61_1606,ugly_attribute_edges,"area where anchoring is prohibited or restricted, with other cautions",SY(ACHRES61),symbol,$CSYMB,1606,31658,$SCODEACHRES61,license_blocked_reference_only,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,exact_symbol_match,ACHRES61,PortrayalCatalog/Symbols/ACHRES61.svg,,license_pending_reference,0,,,,,Use S-101/external art as reference only; generate owned art or clear license before packaging.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
6,ACHRES71,$CSYMB_ACHRES71_1607,ugly_attribute_edges,"area where anchoring is prohibited or restricted, with other information",SY(ACHRES71),symbol,$CSYMB,1607,31659,$SCODEACHRES71,license_blocked_reference_only,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,exact_symbol_match,ACHRES71,PortrayalCatalog/Symbols/ACHRES71.svg,,license_pending_reference,0,,,,,Use S-101/external art as reference only; generate owned art or clear license before packaging.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
7,ADDMRK01,notmrk_ADDMRK01_1428,ugly_attribute_edges,"additional mark, traiangle to the right",SY(NMKINF06);SY(ADDMRK01);SY(ADDMRK02);SY(ADDMRK05),symbol,notmrk,1428,31480,"catnmk55; fnctnm5; addmrk2,3,4",generate_owned,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,none,,,,not_found_by_exact_asset_id,0,,,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
8,ADDMRK02,notmrk_ADDMRK02_1428,ugly_attribute_edges,"additional mark, traiangle to the left",SY(NMKINF06);SY(ADDMRK01);SY(ADDMRK02);SY(ADDMRK05),symbol,notmrk,1428,31480,"catnmk55; fnctnm5; addmrk2,3,4",generate_owned,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,none,,,,not_found_by_exact_asset_id,0,,,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
9,ADDMRK05,notmrk_ADDMRK05_1428,ugly_attribute_edges,"additional mark, board, bottom",SY(NMKINF06);SY(ADDMRK01);SY(ADDMRK02);SY(ADDMRK05),symbol,notmrk,1428,31480,"catnmk55; fnctnm5; addmrk2,3,4",generate_owned,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,none,,,,not_found_by_exact_asset_id,0,,,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
10,AIRARE02,AIRARE_AIRARE02_5,areas_patterns_lines,pattern of symbols for an airport area,"AC(LANDA);AP(AIRARE02);LS(SOLD,1,CHBLK)",pattern,AIRARE,5,32041,CONVIS1,license_blocked_reference_only,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,exact_symbol_match,AIRARE02,PortrayalCatalog/Symbols/AIRARE02.svg,,license_pending_reference,0,,,,,Use S-101/external art as reference only; generate owned art or clear license before packaging.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
