symbol_name,prefix,symbol_id,reference_number,pdf_page,section,symbol_explanation,lookup_tables_affected,called_by_csp,pivot_column,pivot_row,bbox_width,bbox_height,symbol_colours,pattern_type,pattern_spacing,minimum_distance,maximum_distance,comments,s57_tokens,int1_refs,parse_warnings
SY(ACHARE02),SY,ACHARE02,1,9,point_and_centered_area_symbols,"anchorage area as a point at small scale, or anchor points of mooring trot at large scale",paper chart point symbols; area symbols with plain boundaries; simplified point symbols; area symbols with symbolized boundaries,,2.06,2.63,4.02,5.03,CHMGD,,,,,Line weight 0.3 mm,ACHARE; OBSTRN,N 10; N 12.1-9; Q 42,
SY(ACHARE51),SY,ACHARE51,2,10,point_and_centered_area_symbols,anchorage area,area symbols with plain boundaries; area symbols with symbolized boundaries,,6.29,7.79,12.29,13.04,CHMGF,,,,,Line weight 0.3 mm,ACHARE,N 12.1-9; N 12.1,
SY(ACHBRT07),SY,ACHBRT07,3,11,point_and_centered_area_symbols,designated anchor berth for a single vessel,paper chart point symbols; area symbols with plain boundaries; simplified point symbols; area symbols with symbolized boundaries,,2.54,2.79,5.06,5.06,CHMGD,,,,,Line weight 0.3 mm; Circle diameter 2.02 mm,ACHBRT,N 11.1,
SY(ACHRES51),SY,ACHRES51,4,12,point_and_centered_area_symbols,area where anchoring is prohibited or restricted,N/A,"CSP RESARE04 Continuation B,; CSP RESCSP02 Continuation B",-6.4,-5.13,12.29,13.04,CHMGF,,,,,Line weight 0.3 mm / 0.9 mm; Other symbol dimensions like SY(ACHARE51),RESARE,N 20,
SY(ACHRES61),SY,ACHRES61,5,13,point_and_centered_area_symbols,"area where anchoring is prohibited or restricted, with other cautions",N/A,"CSP RESARE04 Continuation B,; CSP RESCSP02 Continuation B",-6.4,-5.13,14.35,13.04,CHMGF; CHMGD,,,,,Line weight 0.3mm / 0.9 mm;; Other symbol dimensions like SY(ACHRES51);; The “!” at bottom right indicates that further cautions are available about the; nature of the restriction.,RESARE,N 20,
SY(ACHRES71),SY,ACHRES71,6,14,point_and_centered_area_symbols,"area where anchoring is prohibited or restricted, with other information",N/A,"CSP RESARE04 Continuation B,; CSP RESCSP02 Continuation B",-4.22,-5.13,14.47,13.04,CHMGF; CHMGD,,,,,Line weight 0.3 mm / 0.9 mm;; Other symbol dimensions like SY(ACHRES51);; The “i” at bottom left indicates that further information is available about the; nature of the restriction.,RESARE,N 20,
SY(AIRARE02),SY,AIRARE02,7,15,point_and_centered_area_symbols,symbol for airport as a point,paper chart point symbols; simplified point symbols,,3.98,3.98,7.96,7.96,LANDF,,,,,Line weight 0.3 mm; Circle diameter 7.96 mm,AIRARE,D 17,
SY(BCNCAR01),SY,BCNCAR01,16,16,point_and_centered_area_symbols,"cardinal beacon, north, simplified",simplified point symbols,,2.0,3.05,4.02,6.12,OUTLW; CHYLW,,,,,Line weight 0.3 mm,BCNCAR,Q 130.3,
SY(BCNCAR02),SY,BCNCAR02,17,17,point_and_centered_area_symbols,"cardinal beacon, east, simplified",simplified point symbols,,2.0,3.3,4.0,6.6,OUTLW; CHYLW,,,,,Line weight 0.3 mm,BCNCAR,Q 130.3,
SY(BCNCAR03),SY,BCNCAR03,18,18,point_and_centered_area_symbols,"cardinal beacon, south, simplified",simplified point symbols,,2.0,3.05,4.0,6.1,OUTLW; CHYLW,,,,,Line weight 0.3 mm,BCNCAR,Q 130.3,
SY(BCNCAR04),SY,BCNCAR04,19,19,point_and_centered_area_symbols,"cardinal beacon, west, simplified",simplified point symbols,,2.0,3.05,4.0,6.1,OUTLW; CHYLW,,,,,Line weight 0.3 mm,BCNCAR,Q 130.3,
SY(BCNDEF13),SY,BCNDEF13,20,20,point_and_centered_area_symbols,"default symbol for a beacon, simplified",simplified point symbols,,1.03,2.18,5.27,4.46,CHMGD; CHGRD; OUTLW,,,,,Line weight (question mark) 0.3 mm; line weight (question mark dot) 0.6 mm; Line weight 0.3 mm; Point diameter 0.6 mm,BCNCAR; BCNLAT; BCNSPP; BCNISD; BCNSAW,Q 130.3; Q 91-92; Q 120-125; Q 130.4; Q 130.5,
SY(BCNGEN01),SY,BCNGEN01,21,21,point_and_centered_area_symbols,"beacon in general, paper-chart",paper chart point symbols,,1.5,4.5,3.0,5.15,CHBLK,,,,,Line weight 0.6 mm; Circle diameter 1.3 mm,BCNCAR; BCNISD; BCNLAT; BCNSAW; BCNSPP,Q 130.3; Q 130.4; Q 91-92; Q 130.5; Q 120-125,
SY(BCNGEN03),SY,BCNGEN03,22,22,point_and_centered_area_symbols,"default symbol for beacon, paper-chart",paper chart point symbols,,1.5,4.46,5.93,5.0,CHMGD; CHBLK,,,,,Line weight (question mark) 0.3 mm; line weight (question mark dot) 0.6 mm; Line weight (beacon horizontal bar) 0.6 mm;; Line weight (beacon vertical bar) 1.2 mm; Circle diameter 1.08 mm,BCNCAR; BCNISD; BCNLAT; BCNSAW; BCNSPP,Q 130.3; Q 130.4; Q 91-92; Q 130.5; Q 120-125,
SY(BCNISD21),SY,BCNISD21,23,23,point_and_centered_area_symbols,"isolated danger beacon, simplified",simplified point symbols,,1.12,2.69,2.22,5.44,OUTLW; CHRED,,,,,Circle line weight 0.3 mm; circle diameter 2.2 mm,BCNISD,Q 83,
SY(BCNLAT15),SY,BCNLAT15,24,24,point_and_centered_area_symbols,"major lateral beacon, red, simplified",simplified point symbols,,1.0,2.0,2.0,4.0,CHRED; OUTLW,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BCNLAT,Q 130.1,
SY(BCNLAT16),SY,BCNLAT16,25,25,point_and_centered_area_symbols,"major lateral beacon, green, simplified",simplified point symbols,,1.0,2.0,2.0,4.0,CHGRN; OUTLW,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BCNLAT,Q 130.1,
SY(BCNLAT21),SY,BCNLAT21,26,26,point_and_centered_area_symbols,"minor lateral beacon, red, simplified",simplified point symbols,,0.66,2.51,1.33,5.0,OUTLW; CHRED,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BCNLAT,Q 91-92,
SY(BCNLAT22),SY,BCNLAT22,27,27,point_and_centered_area_symbols,"minor lateral beacon, green, simplified",simplified point symbols,,0.66,2.51,1.33,5.0,OUTLW; CHGRN,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BCNLAT,Q 91-92,
SY(BCNLTC01),SY,BCNLTC01,28,28,point_and_centered_area_symbols,"lattice beacon, paper-chart",paper chart point symbols,,2.5,4.5,5.0,5.18,CHBLK,,,,,Line weight 0.6 mm; Circle diameter 1.36 mm,BCNCAR; BCNISD; BCNLAT; BCNSAW; BCNSPP,Q 130.3; Q 130.4; Q 91-92; Q 130.5; Q 130.6; Q 111,
SY(BCNSAW13),SY,BCNSAW13,29,29,point_and_centered_area_symbols,"major safe water beacon, simplified",simplified point symbols,,1.0,2.0,2.0,4.0,CHBLK; OUTLW; DEPVS,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BCNSAW,Q 130.5,
SY(BCNSAW21),SY,BCNSAW21,30,30,point_and_centered_area_symbols,"minor safe water beacon, simplified",simplified point symbols,,0.66,2.51,1.33,5.0,OUTLW; CHBLK; DEPVS,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BCNSAW,Q 130.5,
SY(BCNSPP13),SY,BCNSPP13,31,31,point_and_centered_area_symbols,"major special purpose beacon, simplified",simplified point symbols,,1.0,2.0,2.0,4.0,CHYLW; OUTLW,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BCNSPP,Q 130.6,
SY(BCNSPP21),SY,BCNSPP21,32,32,point_and_centered_area_symbols,"minor special purpose beacon, simplified",simplified point symbols,,0.66,2.51,1.33,5.0,OUTLW; CHYLW,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BCNSPP,Q 130.6,
SY(BCNSTK02),SY,BCNSTK02,33,33,point_and_centered_area_symbols,"minor, stake or pole beacon, paper-chart",paper chart point symbols,,1.25,4.51,2.5,4.51,CHBLK,,,,,Line weight 0.6 mm,BCNCAR; BCNISD; BCNLAT; BCNSAW; BCNSPP,Q 130.3; Q 130.4; Q 91-92; Q 130.5; Q 130.6,
SY(BCNTOW01),SY,BCNTOW01,34,34,point_and_centered_area_symbols,"beacon tower, paper-chart",paper chart point symbols,,2.5,4.5,5.0,5.2,CHBLK,,,,,Line weight 0.6 mm; Circle diameter 1.40 mm,BCNCAR; BCNISD; BCNLAT; BCNSAW; BCNSPP,Q 130.3; Q 130.4; Q 91-92; Q 130.5; Q 130.6; Q 110,
SY(BLKADJ01),SY,BLKADJ01,523,35,point_and_centered_area_symbols,symbol to be used for checking and adjusting the brightness and contrast controls,N/A,,10.33,10.43,20.0,20.0,,,,,,See PresLib section 8.5.8,,,missing_symbol_colours
SY(BOYBAR01),SY,BOYBAR01,35,36,point_and_centered_area_symbols,"barrel buoy, paper-chart",paper chart point symbols,,3.55,3.9,6.15,4.4,CHBLK,,,,,Line weight 0.6 mm; Circle diameter 1.0 mm,BOYSPP,Q 25,
SY(BOYCAN01),SY,BOYCAN01,36,37,point_and_centered_area_symbols,"can buoy, paper-chart",paper chart point symbols,,2.88,3.35,6.16,3.94,CHBLK,,,,,Line weight 0.6 mm; Circle diameter 1.18 mm,BOYLAT; BOYSPP,Q 21; Q 130.6,
