symbol_name,symbol_id,prefix,pdf_page,reference_number,match_count,match_status,matched_assets
SY(ACHARE02),ACHARE02,SY,9,1,1,matched_standard_source_table_asset,ACHARE02
SY(ACHARE51),ACHARE51,SY,10,2,1,matched_standard_source_table_asset,ACHARE51
SY(ACHBRT07),ACHBRT07,SY,11,3,1,matched_standard_source_table_asset,ACHBRT07
SY(ACHRES51),ACHRES51,SY,12,4,0,not_in_standard_source_table,
SY(ACHRES61),ACHRES61,SY,13,5,1,matched_standard_source_table_asset,ACHRES61
SY(ACHRES71),ACHRES71,SY,14,6,1,matched_standard_source_table_asset,ACHRES71
SY(AIRARE02),AIRARE02,SY,15,7,1,matched_standard_source_table_asset,AIRARE02
SY(BCNCAR01),BCNCAR01,SY,16,16,1,matched_standard_source_table_asset,BCNCAR01
SY(BCNCAR02),BCNCAR02,SY,17,17,1,matched_standard_source_table_asset,BCNCAR02
SY(BCNCAR03),BCNCAR03,SY,18,18,1,matched_standard_source_table_asset,BCNCAR03
SY(BCNCAR04),BCNCAR04,SY,19,19,1,matched_standard_source_table_asset,BCNCAR04
SY(BCNDEF13),BCNDEF13,SY,20,20,1,matched_standard_source_table_asset,BCNDEF13
SY(BCNGEN01),BCNGEN01,SY,21,21,1,matched_standard_source_table_asset,BCNGEN01
SY(BCNGEN03),BCNGEN03,SY,22,22,1,matched_standard_source_table_asset,BCNGEN03
SY(BCNISD21),BCNISD21,SY,23,23,1,matched_standard_source_table_asset,BCNISD21
SY(BCNLAT15),BCNLAT15,SY,24,24,1,matched_standard_source_table_asset,BCNLAT15
SY(BCNLAT16),BCNLAT16,SY,25,25,1,matched_standard_source_table_asset,BCNLAT16
SY(BCNLAT21),BCNLAT21,SY,26,26,1,matched_standard_source_table_asset,BCNLAT21
SY(BCNLAT22),BCNLAT22,SY,27,27,1,matched_standard_source_table_asset,BCNLAT22
SY(BCNLTC01),BCNLTC01,SY,28,28,1,matched_standard_source_table_asset,BCNLTC01
SY(BCNSAW13),BCNSAW13,SY,29,29,1,matched_standard_source_table_asset,BCNSAW13
SY(BCNSAW21),BCNSAW21,SY,30,30,1,matched_standard_source_table_asset,BCNSAW21
SY(BCNSPP13),BCNSPP13,SY,31,31,1,matched_standard_source_table_asset,BCNSPP13
SY(BCNSPP21),BCNSPP21,SY,32,32,1,matched_standard_source_table_asset,BCNSPP21
SY(BCNSTK02),BCNSTK02,SY,33,33,1,matched_standard_source_table_asset,BCNSTK02
SY(BCNTOW01),BCNTOW01,SY,34,34,1,matched_standard_source_table_asset,BCNTOW01
SY(BLKADJ01),BLKADJ01,SY,35,523,1,matched_standard_source_table_asset,BLKADJ01
SY(BOYBAR01),BOYBAR01,SY,36,35,1,matched_standard_source_table_asset,BOYBAR01
SY(BOYCAN01),BOYCAN01,SY,37,36,1,matched_standard_source_table_asset,BOYCAN01
SY(BOYCAR01),BOYCAR01,SY,38,37,1,matched_standard_source_table_asset,BOYCAR01
SY(BOYCAR02),BOYCAR02,SY,39,38,1,matched_standard_source_table_asset,BOYCAR02
SY(BOYCAR03),BOYCAR03,SY,40,39,1,matched_standard_source_table_asset,BOYCAR03
SY(BOYCAR04),BOYCAR04,SY,41,40,1,matched_standard_source_table_asset,BOYCAR04
SY(BOYCON01),BOYCON01,SY,42,41,1,matched_standard_source_table_asset,BOYCON01
SY(BOYDEF03),BOYDEF03,SY,43,42,1,matched_standard_source_table_asset,BOYDEF03
SY(BOYGEN03),BOYGEN03,SY,44,43,1,matched_standard_source_table_asset,BOYGEN03
SY(BOYINB01),BOYINB01,SY,45,44,1,matched_standard_source_table_asset,BOYINB01
SY(BOYISD12),BOYISD12,SY,46,45,1,matched_standard_source_table_asset,BOYISD12
SY(BOYLAT13),BOYLAT13,SY,47,46,1,matched_standard_source_table_asset,BOYLAT13
SY(BOYLAT14),BOYLAT14,SY,48,47,1,matched_standard_source_table_asset,BOYLAT14
SY(BOYLAT23),BOYLAT23,SY,49,48,1,matched_standard_source_table_asset,BOYLAT23
SY(BOYLAT24),BOYLAT24,SY,50,49,1,matched_standard_source_table_asset,BOYLAT24
SY(BOYMOR01),BOYMOR01,SY,51,50,1,matched_standard_source_table_asset,BOYMOR01
SY(BOYMOR03),BOYMOR03,SY,52,51,1,matched_standard_source_table_asset,BOYMOR03
SY(BOYMOR11),BOYMOR11,SY,53,52,1,matched_standard_source_table_asset,BOYMOR11
SY(BOYPIL01),BOYPIL01,SY,54,53,1,matched_standard_source_table_asset,BOYPIL01
SY(BOYSAW12),BOYSAW12,SY,55,54,1,matched_standard_source_table_asset,BOYSAW12
SY(BOYSPH01),BOYSPH01,SY,56,55,1,matched_standard_source_table_asset,BOYSPH01
SY(BOYSPP11),BOYSPP11,SY,57,56,1,matched_standard_source_table_asset,BOYSPP11
SY(BOYSPP15),BOYSPP15,SY,58,57,1,matched_standard_source_table_asset,BOYSPP15
SY(BOYSPP25),BOYSPP25,SY,59,58,1,matched_standard_source_table_asset,BOYSPP25
SY(BOYSPP35),BOYSPP35,SY,60,527,0,not_in_standard_source_table,
SY(BOYSPR01),BOYSPR01,SY,61,59,1,matched_standard_source_table_asset,BOYSPR01
SY(BOYSUP01),BOYSUP01,SY,62,60,1,matched_standard_source_table_asset,BOYSUP01
SY(BOYSUP02),BOYSUP02,SY,63,61,1,matched_standard_source_table_asset,BOYSUP02
SY(BOYSUP03),BOYSUP03,SY,64,62,1,matched_standard_source_table_asset,BOYSUP03
SY(BRIDGE01),BRIDGE01,SY,65,63,1,matched_standard_source_table_asset,BRIDGE01
SY(BRTHNO01),BRTHNO01,SY,66,64,1,matched_standard_source_table_asset,BRTHNO01
SY(BUAARE02),BUAARE02,SY,67,65,1,matched_standard_source_table_asset,BUAARE02
SY(BUIREL01),BUIREL01,SY,68,66,1,matched_standard_source_table_asset,BUIREL01
SY(BUIREL04),BUIREL04,SY,69,67,1,matched_standard_source_table_asset,BUIREL04
SY(BUIREL05),BUIREL05,SY,70,68,1,matched_standard_source_table_asset,BUIREL05
SY(BUIREL13),BUIREL13,SY,71,69,1,matched_standard_source_table_asset,BUIREL13
SY(BUIREL14),BUIREL14,SY,72,70,1,matched_standard_source_table_asset,BUIREL14
SY(BUIREL15),BUIREL15,SY,73,71,1,matched_standard_source_table_asset,BUIREL15
SY(BUISGL01),BUISGL01,SY,74,72,1,matched_standard_source_table_asset,BUISGL01
SY(BUISGL11),BUISGL11,SY,75,73,1,matched_standard_source_table_asset,BUISGL11
SY(CAIRNS01),CAIRNS01,SY,76,74,1,matched_standard_source_table_asset,CAIRNS01
SY(CAIRNS11),CAIRNS11,SY,77,75,1,matched_standard_source_table_asset,CAIRNS11
SY(CBLARE51),CBLARE51,SY,78,76,1,matched_standard_source_table_asset,CBLARE51
SY(CGUSTA02),CGUSTA02,SY,79,77,1,matched_standard_source_table_asset,CGUSTA02
SY(CHCRDEL1),CHCRDEL1,SY,80,78,1,matched_standard_source_table_asset,CHCRDEL1
