asset,status,issues,tiny_bbox,center_offset,elements,path
DANGER53,craft_blocked,placeholder_shape;style_blocked_upstream,15.9x15.9,0.0,2,assets/svg/triad_generated/DANGER53.svg
DGPS01DRFSTA01,craft_blocked,placeholder_shape;style_blocked_upstream,15.9x15.9,0.0,2,assets/svg/triad_generated/DGPS01DRFSTA01.svg
NEWOBJ 01,craft_blocked,placeholder_shape;style_blocked_upstream,15.9x15.9,0.0,2,assets/svg/triad_generated/NEWOBJ_01.svg
NEWOBJ01,craft_blocked,placeholder_shape;style_blocked_upstream,15.9x15.9,0.0,2,assets/svg/triad_generated/NEWOBJ01.svg
ACHARE02,craft_pass,,12.0x12.75,0.016,2,assets/svg/triad_generated/ACHARE02.svg
ACHARE51,craft_pass,,15.0x16.2,0.025,2,assets/svg/triad_generated/ACHARE51.svg
ACHBRT07,craft_pass,,12.0x12.75,0.016,3,assets/svg/triad_generated/ACHBRT07.svg
ACHPNT01,craft_pass,,12.0x12.75,0.016,2,assets/svg/triad_generated/ACHPNT01.svg
ACHRES61,craft_pass,,16.2x16.2,0.035,4,assets/svg/triad_generated/ACHRES61.svg
ACHRES71,craft_pass,,15.45x16.2,0.027,4,assets/svg/triad_generated/ACHRES71.svg
ADDMRK01,craft_pass,,12.15x12.9,0.016,1,assets/svg/triad_generated/ADDMRK01.svg
ADDMRK02,craft_pass,,12.15x12.9,0.016,1,assets/svg/triad_generated/ADDMRK02.svg
AIRARE02,craft_pass,,13.5x13.5,0.0,2,assets/svg/triad_generated/AIRARE02.svg
AISDEF01,craft_pass,,11.85x12.75,0.104,3,assets/svg/triad_generated/AISDEF01.svg
AISONE01,craft_pass,,12.0x7.2,0.025,2,assets/svg/triad_generated/AISONE01.svg
AISSIX01,craft_pass,,12.0x8.7,0.056,3,assets/svg/triad_generated/AISSIX01.svg
AISSLP01,craft_pass,,6.9x13.95,0.009,1,assets/svg/triad_generated/AISSLP01.svg
AISVES01,craft_pass,,7.5x16.95,0.053,2,assets/svg/triad_generated/AISVES01.svg
ARCSLN01,craft_pass,,15.9x7.65,0.016,1,assets/svg/triad_generated/ARCSLN01.svg
ARPATG01,craft_pass,,7.5x7.5,0.0,2,assets/svg/triad_generated/ARPATG01.svg
BCNCAR01,craft_pass,,18.9x21.0,0.0,2,assets/svg/triad_generated/BCNCAR01.svg
BCNCAR02,craft_pass,,18.9x21.0,0.0,2,assets/svg/triad_generated/BCNCAR02.svg
BCNCAR03,craft_pass,,18.9x21.0,0.0,2,assets/svg/triad_generated/BCNCAR03.svg
BCNCAR04,craft_pass,,18.9x21.0,0.0,2,assets/svg/triad_generated/BCNCAR04.svg
BCNCON81,craft_pass,,12.9x18.9,0.062,7,assets/svg/triad_generated/BCNCON81.svg
BCNDEF13,craft_pass,,15.9x15.15,0.093,2,assets/svg/triad_generated/BCNDEF13.svg
BCNGEN01,craft_pass,,11.4x18.45,0.022,3,assets/svg/triad_generated/BCNGEN01.svg
BCNGEN03,craft_pass,,14.85x18.45,0.075,4,assets/svg/triad_generated/BCNGEN03.svg
BCNGEN64,craft_pass,,6.0x19.2,0.037,6,assets/svg/triad_generated/BCNGEN64.svg
BCNGEN68,craft_pass,,6.0x13.2,0.037,4,assets/svg/triad_generated/BCNGEN68.svg
BCNGEN69,craft_pass,,6.0x13.2,0.037,4,assets/svg/triad_generated/BCNGEN69.svg
BCNGEN79,craft_pass,,6.0x13.2,0.037,2,assets/svg/triad_generated/BCNGEN79.svg
BCNGEN80,craft_pass,,6.0x13.2,0.037,2,assets/svg/triad_generated/BCNGEN80.svg
BCNISD21,craft_pass,,7.8x16.5,0.025,2,assets/svg/triad_generated/BCNISD21.svg
BCNLTC01,craft_pass,,15.0x19.2,0.087,4,assets/svg/triad_generated/BCNLTC01.svg
BCNSAW13,craft_pass,,8.4x18.9,0.0,2,assets/svg/triad_generated/BCNSAW13.svg
BCNSPP13,craft_pass,,9.9x17.4,0.0,2,assets/svg/triad_generated/BCNSPP13.svg
BCNSTK02,craft_pass,,11.4x16.2,0.006,1,assets/svg/triad_generated/BCNSTK02.svg
BCNSTK05,craft_pass,,11.4x17.7,0.037,5,assets/svg/triad_generated/BCNSTK05.svg
BCNSTK08,craft_pass,,11.4x17.7,0.037,5,assets/svg/triad_generated/BCNSTK08.svg
BCNSTK60,craft_pass,,11.4x17.7,0.037,5,assets/svg/triad_generated/BCNSTK60.svg
BCNSTK61,craft_pass,,11.4x17.7,0.037,5,assets/svg/triad_generated/BCNSTK61.svg
BCNSTK62,craft_pass,,11.4x17.7,0.037,5,assets/svg/triad_generated/BCNSTK62.svg
BCNSTK78,craft_pass,,11.4x17.7,0.037,6,assets/svg/triad_generated/BCNSTK78.svg
BCNSTK81,craft_pass,,11.4x17.7,0.037,6,assets/svg/triad_generated/BCNSTK81.svg
BCNSTK82,craft_pass,,11.4x17.7,0.037,6,assets/svg/triad_generated/BCNSTK82.svg
BCNSTK83,craft_pass,,11.4x17.7,0.037,6,assets/svg/triad_generated/BCNSTK83.svg
BCNTOW01,craft_pass,,14.4x19.2,0.087,3,assets/svg/triad_generated/BCNTOW01.svg
BCNTOW05,craft_pass,,15.0x18.3,0.05,6,assets/svg/triad_generated/BCNTOW05.svg
BCNTOW60,craft_pass,,15.0x18.3,0.05,6,assets/svg/triad_generated/BCNTOW60.svg
BCNTOW61,craft_pass,,15.0x18.3,0.05,6,assets/svg/triad_generated/BCNTOW61.svg
BCNTOW62,craft_pass,,15.0x18.3,0.05,6,assets/svg/triad_generated/BCNTOW62.svg
BCNTOW63,craft_pass,,9.0x17.4,0.031,6,assets/svg/triad_generated/BCNTOW63.svg
BCNTOW64,craft_pass,,15.0x18.3,0.05,7,assets/svg/triad_generated/BCNTOW64.svg
BCNTOW65,craft_pass,,15.0x18.3,0.05,7,assets/svg/triad_generated/BCNTOW65.svg
BCNTOW66,craft_pass,,9.0x17.4,0.031,6,assets/svg/triad_generated/BCNTOW66.svg
BCNTOW68,craft_pass,,15.0x18.3,0.05,7,assets/svg/triad_generated/BCNTOW68.svg
BCNTOW69,craft_pass,,15.0x18.3,0.05,7,assets/svg/triad_generated/BCNTOW69.svg
BCNTOW70,craft_pass,,9.0x17.4,0.031,5,assets/svg/triad_generated/BCNTOW70.svg
BCNTOW71,craft_pass,,9.0x17.4,0.031,5,assets/svg/triad_generated/BCNTOW71.svg
BCNTOW74,craft_pass,,9.0x17.4,0.031,5,assets/svg/triad_generated/BCNTOW74.svg
BCNTOW76,craft_pass,,9.0x17.4,0.031,5,assets/svg/triad_generated/BCNTOW76.svg
BCNTOW85,craft_pass,,15.0x18.3,0.05,7,assets/svg/triad_generated/BCNTOW85.svg
BCNTOW86,craft_pass,,15.0x18.3,0.05,7,assets/svg/triad_generated/BCNTOW86.svg
BCNTOW87,craft_pass,,15.0x18.3,0.05,8,assets/svg/triad_generated/BCNTOW87.svg
BCNTOW88,craft_pass,,15.0x18.3,0.05,7,assets/svg/triad_generated/BCNTOW88.svg
BCNTOW89,craft_pass,,15.0x18.3,0.05,6,assets/svg/triad_generated/BCNTOW89.svg
