asset,status,blockers,reference_count,helm_count,style_status,craft_status
ARCSLN01,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
BCNCON81,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
BOYLAT52,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
BOYLAT53,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
BOYLAT54,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
BOYLAT55,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
BOYLAT56,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
BOYSPH79,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
BOYSPR02,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
BOYSPR03,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
DANGER53,recognition_blocked,no_reference_images;style_blocked;craft_blocked,0,2,style_blocked,craft_blocked
DASH,recognition_blocked,no_reference_images,0,2,style_pass,craft_review
DATCVR01,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
DEPARE01,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
DEPARE02,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
DEPCNT02,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
DGPS01DRFSTA01,recognition_blocked,no_reference_images;style_blocked;craft_blocked,0,2,style_blocked,craft_blocked
DOTT,recognition_blocked,no_reference_images,0,2,style_pass,craft_review
LEGLIN02,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
NEWOBJ 01,recognition_blocked,no_reference_images;style_blocked;craft_blocked,0,1,style_blocked,craft_blocked
NEWOBJ01,recognition_blocked,no_reference_images;style_blocked;craft_blocked,0,2,style_blocked,craft_blocked
OWNSHP02,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
QUAPOS01;TX(OBJNAM,recognition_blocked,no_reference_images,0,1,style_pass,craft_pass
RESARE01,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
RESARE02,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
RESTRN01,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
SLCONS03,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
SOLD,recognition_blocked,no_reference_images,0,2,style_pass,craft_review
SYMINS01,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
TOPMARI1,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
TOPSHP09;TE('%s',recognition_blocked,no_reference_images,0,1,style_pass,craft_pass
TOPSHP15;TE('%s',recognition_blocked,no_reference_images,0,1,style_pass,craft_pass
TOPSHP33,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
TOPSHP73;TE('%s',recognition_blocked,no_reference_images,0,1,style_pass,craft_pass
TOPSHP81;TE('%s',recognition_blocked,no_reference_images,0,1,style_pass,craft_pass
TOPSHP89;TE('%s',recognition_blocked,no_reference_images,0,1,style_pass,craft_pass
TOPSHPT8;TE('%s',recognition_blocked,no_reference_images,0,1,style_pass,craft_pass
VEHTRF01,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
VESSEL01,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
VRMEBL01,recognition_blocked,no_reference_images,0,2,style_pass,craft_pass
boyspp50,recognition_blocked,no_reference_images,0,2,style_review,craft_pass
ACHARE02,recognition_ready,,5,2,style_pass,craft_pass
ACHARE51,recognition_ready,,5,2,style_pass,craft_pass
ACHBRT07,recognition_ready,,5,2,style_pass,craft_pass
ACHPNT01,recognition_ready,,4,2,style_pass,craft_pass
ACHRES61,recognition_ready,,5,2,style_pass,craft_pass
ACHRES71,recognition_ready,,5,2,style_pass,craft_pass
ADDMRK01,recognition_ready,,3,2,style_pass,craft_pass
ADDMRK02,recognition_ready,,3,2,style_pass,craft_pass
AIRARE02,recognition_ready,,4,2,style_pass,craft_pass
AISDEF01,recognition_ready,,3,2,style_pass,craft_pass
AISONE01,recognition_ready,,3,2,style_pass,craft_pass
AISSIX01,recognition_ready,,3,2,style_pass,craft_pass
AISSLP01,recognition_ready,,3,2,style_pass,craft_pass
AISVES01,recognition_ready,,3,2,style_pass,craft_pass
ARPATG01,recognition_ready,,3,2,style_pass,craft_pass
BCNCAR01,recognition_ready,,8,2,style_pass,craft_pass
BCNCAR02,recognition_ready,,8,2,style_pass,craft_pass
BCNCAR03,recognition_ready,,8,2,style_pass,craft_pass
BCNCAR04,recognition_ready,,8,2,style_pass,craft_pass
BCNDEF13,recognition_ready,,4,2,style_pass,craft_pass
BCNGEN64,recognition_ready,,3,2,style_pass,craft_pass
BCNGEN68,recognition_ready,,3,2,style_pass,craft_pass
BCNGEN69,recognition_ready,,3,2,style_pass,craft_pass
BCNGEN79,recognition_ready,,3,2,style_pass,craft_pass
BCNGEN80,recognition_ready,,3,2,style_pass,craft_pass
BCNISD21,recognition_ready,,5,2,style_pass,craft_pass
BCNSAW13,recognition_ready,,6,2,style_pass,craft_pass
BCNSPP13,recognition_ready,,6,2,style_pass,craft_pass
BCNSTK05,recognition_ready,,3,2,style_pass,craft_pass
BCNSTK08,recognition_ready,,3,2,style_pass,craft_pass
BCNSTK60,recognition_ready,,3,2,style_pass,craft_pass
BCNSTK61,recognition_ready,,3,2,style_pass,craft_pass
BCNSTK62,recognition_ready,,3,2,style_pass,craft_pass
BCNSTK78,recognition_ready,,3,2,style_pass,craft_pass
BCNSTK81,recognition_ready,,3,2,style_pass,craft_pass
BCNSTK82,recognition_ready,,3,2,style_pass,craft_pass
BCNSTK83,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW05,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW60,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW61,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW62,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW63,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW64,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW65,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW66,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW68,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW69,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW70,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW71,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW74,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW76,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW85,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW86,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW87,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW88,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW89,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW90,recognition_ready,,3,2,style_pass,craft_pass
BCNTOW91,recognition_ready,,3,2,style_pass,craft_pass
BLKADJ01,recognition_ready,,4,2,style_pass,craft_pass
BOYBAR01,recognition_ready,,4,2,style_pass,craft_pass
BOYBAR60,recognition_ready,,3,2,style_pass,craft_pass
BOYBAR61,recognition_ready,,3,2,style_pass,craft_pass
BOYBAR62,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN01,recognition_ready,,4,2,style_pass,craft_pass
BOYCAN60,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN61,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN62,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN63,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN64,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN65,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN68,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN69,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN70,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN71,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN72,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN73,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN74,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN75,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN76,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN77,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN78,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN79,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN80,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN81,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN82,recognition_ready,,3,2,style_pass,craft_pass
BOYCAN83,recognition_ready,,3,2,style_pass,craft_pass
BOYCAR01,recognition_ready,,8,2,style_pass,craft_pass
BOYCAR02,recognition_ready,,8,2,style_pass,craft_pass
BOYCAR03,recognition_ready,,8,2,style_pass,craft_pass
BOYCAR04,recognition_ready,,8,2,style_pass,craft_pass
BOYCON01,recognition_ready,,4,2,style_pass,craft_pass
BOYCON60,recognition_ready,,3,2,style_pass,craft_pass
BOYCON61,recognition_ready,,3,2,style_pass,craft_pass
BOYCON62,recognition_ready,,3,2,style_pass,craft_pass
BOYCON63,recognition_ready,,3,2,style_pass,craft_pass
BOYCON64,recognition_ready,,3,2,style_pass,craft_pass
BOYCON65,recognition_ready,,3,2,style_pass,craft_pass
BOYCON66,recognition_ready,,3,2,style_pass,craft_pass
BOYCON67,recognition_ready,,3,2,style_pass,craft_pass
BOYCON68,recognition_ready,,3,2,style_pass,craft_pass
BOYCON69,recognition_ready,,3,2,style_pass,craft_pass
BOYCON70,recognition_ready,,3,2,style_pass,craft_pass
BOYCON71,recognition_ready,,3,2,style_pass,craft_pass
BOYCON72,recognition_ready,,3,2,style_pass,craft_pass
BOYCON73,recognition_ready,,3,2,style_pass,craft_pass
BOYCON74,recognition_ready,,3,2,style_pass,craft_pass
BOYCON77,recognition_ready,,3,2,style_pass,craft_pass
BOYCON78,recognition_ready,,3,2,style_pass,craft_pass
BOYCON79,recognition_ready,,3,2,style_pass,craft_pass
BOYCON80,recognition_ready,,3,2,style_pass,craft_pass
BOYCON81,recognition_ready,,3,2,style_pass,craft_pass
BOYDEF03,recognition_ready,,4,2,style_pass,craft_pass
BOYGEN03,recognition_ready,,4,2,style_pass,craft_pass
BOYINB01,recognition_ready,,4,2,style_pass,craft_pass
BOYLAT13,recognition_ready,,4,2,style_pass,craft_pass
BOYLAT14,recognition_ready,,4,2,style_pass,craft_pass
BOYLAT23,recognition_ready,,4,2,style_pass,craft_pass
BOYLAT24,recognition_ready,,4,2,style_pass,craft_pass
BOYLAT25,recognition_ready,,3,2,style_pass,craft_pass
BOYLAT26,recognition_ready,,3,2,style_pass,craft_pass
BOYLAT27,recognition_ready,,3,2,style_pass,craft_pass
