source_table_id,asset,name,kind,s57_object_class,s57_conditions,s52_instruction,opencpn_definition_count,opencpn_lookup_count,opencpn_color_refs,opencpn_reference_day,s101_symbol_ids,s101_paths,aquamap_labels,aquamap_paths,semantic_brief,required_shape,required_colours,colour_pattern,helm_candidate_svg,helm_candidate_day,candidate_status,pre_routing_candidate_status,batch98_routing_bucket,latest_judge_pass,latest_required_change
opencpn-s52:ACHARE02,ACHARE02,"anchorage area as a point at small scale, or anchor points of mooring trot at large scale",symbol,OBSTRN,CATOBS9;VALSOU,SY(ACHARE02),1,14,ACHMGD,out/opencpn_s52_reference/ACHARE02__day.png,ACHARE02;ACHARE02,assets/svg/source_priority/s101_exact/ACHARE02.svg;PortrayalCatalog/Symbols/ACHARE02.svg,Anchoring Prohibited,reference_sources/aquamap_map_symbols/images/AnchoringProhibited1.png,"ACHARE02 is anchorage area as a point at small scale, or anchor points of mooring trot at large scale. It is used as a obstruction or hazard marking. Required geometry: anchor/anchorage symbol. Required colours: reference-defined.",anchor/anchorage symbol,,,assets/svg/triad_generated/ACHARE02.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; optional native-scale tightening only.
opencpn-s52:ACHARE51,ACHARE51,boundary of an anchorage area,symbol,ACHARE,,SY(ACHARE51);CS(RESARE02),3,4,ACHMGD;ADEPMDBCHMGD;JCHMGF,out/opencpn_s52_reference/ACHARE51__day.png,ACHARE51;ACHARE51,assets/svg/source_priority/s101_exact/ACHARE51.svg;PortrayalCatalog/Symbols/ACHARE51.svg,Anchoring Prohibited,reference_sources/aquamap_map_symbols/images/AnchoringProhibited1.png,ACHARE51 is boundary of an anchorage area. It is used as a anchorage-area or anchoring-related chart marking. Required geometry: anchor/anchorage symbol. Required colours: reference-defined.,anchor/anchorage symbol,,,assets/svg/triad_generated/ACHARE51.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; optional size/stroke normalization.
opencpn-s52:ACHBRT07,ACHBRT07,designated anchor berth for a single vessel,symbol,ACHBRT,,"SY(ACHBRT07);TE('%s','OBJNAM',3,1,2,'15110',1,0,CHBLK,29);LS(DASH,2,CHMGF)",1,8,ACHMGD,out/opencpn_s52_reference/ACHBRT07__day.png,ACHBRT07;ACHBRT07,assets/svg/source_priority/s101_exact/ACHBRT07.svg;PortrayalCatalog/Symbols/ACHBRT07.svg,Anchoring Prohibited,reference_sources/aquamap_map_symbols/images/AnchoringProhibited1.png,ACHBRT07 is designated anchor berth for a single vessel. It is used as a designated anchor berth for a single vessel. Required geometry: anchor/anchorage symbol. Required colours: reference-defined.,anchor/anchorage symbol,,,assets/svg/triad_generated/ACHBRT07.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; optional compacting to match source scale.
opencpn-s52:ACHPNT01,ACHPNT01,anchor,symbol,ACHPNT,,SY(ACHPNT01),1,2,JCHMGF,out/opencpn_s52_reference/ACHPNT01__day.png,,,Anchoring Prohibited,reference_sources/aquamap_map_symbols/images/AnchoringProhibited1.png,ACHPNT01 is anchor. It is used as a anchor. Required geometry: anchor/anchorage symbol. Required colours: reference-defined.,anchor/anchorage symbol,,,assets/svg/triad_generated/ACHPNT01.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; optional native-scale tuning.
opencpn-s52:ACHRES61,ACHRES61,"area where anchoring is prohibited or restricted, with other cautions",symbol,$CSYMB,$SCODEACHRES61,SY(ACHRES61),1,2,ACHMGFCCHMGD,out/opencpn_s52_reference/ACHRES61__day.png,ACHRES61;ACHRES61,assets/svg/source_priority/s101_exact/ACHRES61.svg;PortrayalCatalog/Symbols/ACHRES61.svg,Anchoring Prohibited,reference_sources/aquamap_map_symbols/images/AnchoringProhibited1.png,"ACHRES61 is area where anchoring is prohibited or restricted, with other cautions. It is used as a area where anchoring is prohibited or restricted, with other cautions. Required geometry: anchor/anchorage symbol. Required colours: reference-defined.",anchor/anchorage symbol,,,assets/svg/triad_generated/ACHRES61.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; optional adjust exclamation placement/scale.
opencpn-s52:ACHRES71,ACHRES71,"area where anchoring is prohibited or restricted, with other information",symbol,$CSYMB,$SCODEACHRES71,SY(ACHRES71),1,2,ACHMGFCCHMGD,out/opencpn_s52_reference/ACHRES71__day.png,ACHRES71;ACHRES71,assets/svg/source_priority/s101_exact/ACHRES71.svg;PortrayalCatalog/Symbols/ACHRES71.svg,Anchoring Prohibited,reference_sources/aquamap_map_symbols/images/AnchoringProhibited1.png,"ACHRES71 is area where anchoring is prohibited or restricted, with other information. It is used as a area where anchoring is prohibited or restricted, with other information. Required geometry: anchor/anchorage symbol. Required colours: reference-defined.",anchor/anchorage symbol,,,assets/svg/triad_generated/ACHRES71.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; optional marker placement/scale cleanup.
opencpn-s52:ADDMRK01,ADDMRK01,"additional mark, traiangle to the right",symbol,notmrk,"catnmk55;fnctnm5;addmrk2,3,4",SY(NMKINF06);SY(ADDMRK01);SY(ADDMRK02);SY(ADDMRK05),1,32,ACHBLKBCHWHT,out/opencpn_s52_reference/ADDMRK01__day.png,,,,,"ADDMRK01 is additional mark, traiangle to the right. It is used as a additional mark, traiangle to the right. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: white, black.",symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,white;black,,assets/svg/triad_generated/ADDMRK01.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required.
opencpn-s52:ADDMRK02,ADDMRK02,"additional mark, traiangle to the left",symbol,notmrk,"catnmk55;fnctnm5;addmrk2,3,4",SY(NMKINF06);SY(ADDMRK01);SY(ADDMRK02);SY(ADDMRK05),1,33,ACHBLKBCHWHT,out/opencpn_s52_reference/ADDMRK02__day.png,,,,,"ADDMRK02 is additional mark, traiangle to the left. It is used as a additional mark, traiangle to the left. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: white, black.",symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,white;black,,assets/svg/triad_generated/ADDMRK02.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required.
opencpn-s52:ADDMRK05,ADDMRK05,"additional mark, board, bottom",symbol,notmrk,"catnmk55;fnctnm5;addmrk2,3,4",SY(NMKINF06);SY(ADDMRK01);SY(ADDMRK02);SY(ADDMRK05),1,32,ACHBLKBCHWHT,out/opencpn_s52_reference/ADDMRK05__day.png,,,,,"ADDMRK05 is additional mark, board, bottom. It is used as a additional mark, board, bottom. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: white, black.",symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,white;black,,assets/svg/triad_generated/ADDMRK05.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; optional reduce scale.
opencpn-s52:AIRARE02,AIRARE02,pattern of symbols for an airport area,pattern,AIRARE,CONVIS1,"AC(LANDA);AP(AIRARE02);LS(SOLD,1,CHBLK)",2,6,ALANDF,out/opencpn_s52_reference/AIRARE02__day.png,AIRARE02;AIRARE02,assets/svg/source_priority/s101_exact/AIRARE02.svg;PortrayalCatalog/Symbols/AIRARE02.svg,,,AIRARE02 is pattern of symbols for an airport area. It is used as a pattern of symbols for an airport area. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: reference-defined.,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,,assets/svg/triad_generated/AIRARE02.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; optional aircraft proportion tuning.
