asset,status,issues,notes,path
DANGER53,style_blocked,diamond_placeholder;generic_symbol;missing_round_linecap;missing_round_linejoin;missing_style_contract,"graphic_elements=2;stroke_range=1.5-2;viewbox=0,0,64,64",assets/svg/triad_generated/DANGER53.svg
DGPS01DRFSTA01,style_blocked,diamond_placeholder;generic_symbol;missing_round_linecap;missing_round_linejoin;missing_style_contract,"graphic_elements=2;stroke_range=1.5-2;viewbox=0,0,64,64",assets/svg/triad_generated/DGPS01DRFSTA01.svg
NEWOBJ 01,style_blocked,diamond_placeholder;generic_symbol;missing_round_linecap;missing_round_linejoin;missing_style_contract,"graphic_elements=2;stroke_range=1.5-2;viewbox=0,0,64,64",assets/svg/triad_generated/NEWOBJ_01.svg
NEWOBJ01,style_blocked,diamond_placeholder;generic_symbol;missing_round_linecap;missing_round_linejoin;missing_style_contract,"graphic_elements=2;stroke_range=1.5-2;viewbox=0,0,64,64",assets/svg/triad_generated/NEWOBJ01.svg
ACHARE02,style_pass,,"graphic_elements=2;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/ACHARE02.svg
ACHARE51,style_pass,,"graphic_elements=2;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/ACHARE51.svg
ACHBRT07,style_pass,,"graphic_elements=3;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/ACHBRT07.svg
ACHPNT01,style_pass,,"graphic_elements=2;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/ACHPNT01.svg
ACHRES61,style_pass,,"graphic_elements=4;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/ACHRES61.svg
ACHRES71,style_pass,,"graphic_elements=4;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/ACHRES71.svg
ADDMRK01,style_pass,,"graphic_elements=1;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/ADDMRK01.svg
ADDMRK02,style_pass,,"graphic_elements=1;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/ADDMRK02.svg
ADDMRK05,style_pass,,"graphic_elements=1;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/ADDMRK05.svg
AIRARE02,style_pass,,"graphic_elements=2;no_primary_contract_stroke;stroke_range=2.4-2.4;viewbox=0,0,64,64",assets/svg/triad_generated/AIRARE02.svg
AISDEF01,style_pass,,"graphic_elements=3;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/AISDEF01.svg
AISONE01,style_pass,,"graphic_elements=2;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/AISONE01.svg
AISSIX01,style_pass,,"graphic_elements=3;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/AISSIX01.svg
AISSLP01,style_pass,,"graphic_elements=1;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/AISSLP01.svg
AISVES01,style_pass,,"graphic_elements=2;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/AISVES01.svg
ARCSLN01,style_pass,,"graphic_elements=1;stroke_range=2-2;viewbox=0,0,64,64",assets/svg/triad_generated/ARCSLN01.svg
ARPATG01,style_pass,,"graphic_elements=2;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/ARPATG01.svg
ARPONE01,style_pass,,"graphic_elements=1;no_primary_contract_stroke;stroke_range=2.6-2.6;viewbox=0,0,64,64",assets/svg/triad_generated/ARPONE01.svg
ARPSIX01,style_pass,,"graphic_elements=1;no_primary_contract_stroke;stroke_range=5.2-5.2;viewbox=0,0,64,64",assets/svg/triad_generated/ARPSIX01.svg
BCNCAR01,style_pass,,"graphic_elements=2;no_primary_contract_stroke;stroke_range=3-3;viewbox=0,0,64,64",assets/svg/triad_generated/BCNCAR01.svg
