asset,name,candidate_status,human_rejected,expected_shape_id,expected_shape_name,basis,confidence,s101_witness_ids,s101_witness_files,candidate_svg,standard_svg,llm_instruction
TOPMA100,"topmark, beacon, red cone, point down",judge_pass_pending_final_approval,False,TOPSHP25,"triangle, point down",s57_structure_conditions_TOPSHP,0.99,"TOPMAR24,TOPMAR04","PortrayalCatalog/Symbols/TOPMAR24.svg,PortrayalCatalog/Symbols/TOPMAR04.svg",assets/svg/triad_generated/TOPMA100.svg,out/topmark_standards_pass/standard_svg/TOPSHP25.svg,"Render TOPMA100 as a Helm-owned topmark/daymark SVG. Match the official TOPSHP25 shape exactly for silhouette, count, and orientation: triangle, point down. Use row colours/bands from metadata when present, but do not substitute a different topmark family. Compare against the standard shape witness first; row name is secondary. Basis: s57_structure_conditions_TOPSHP. Name: topmark, beacon, red cone, point down."
TOPMA102,"topmark, beacon, green cone, point up",judge_pass_pending_final_approval,False,TOPSHP24,"triangle, point up",s57_structure_conditions_TOPSHP,0.99,"TOPMAR22,TOPMAR02","PortrayalCatalog/Symbols/TOPMAR22.svg,PortrayalCatalog/Symbols/TOPMAR02.svg",assets/svg/triad_generated/TOPMA102.svg,out/topmark_standards_pass/standard_svg/TOPSHP24.svg,"Render TOPMA102 as a Helm-owned topmark/daymark SVG. Match the official TOPSHP24 shape exactly for silhouette, count, and orientation: triangle, point up. Use row colours/bands from metadata when present, but do not substitute a different topmark family. Compare against the standard shape witness first; row name is secondary. Basis: s57_structure_conditions_TOPSHP. Name: topmark, beacon, green cone, point up."
TOPMA106,"beacon top mark, white-red square board, vertical",judge_pass_pending_final_approval,False,TOPSHP06,board,s57_structure_conditions_TOPSHP,0.99,"TOPMAR34,TOPMAR14","PortrayalCatalog/Symbols/TOPMAR34.svg,PortrayalCatalog/Symbols/TOPMAR14.svg",assets/svg/triad_generated/TOPMA106.svg,out/topmark_standards_pass/standard_svg/TOPSHP06.svg,"Render TOPMA106 as a Helm-owned topmark/daymark SVG. Match the official TOPSHP06 shape exactly for silhouette, count, and orientation: board. Use row colours/bands from metadata when present, but do not substitute a different topmark family. Compare against the standard shape witness first; row name is secondary. Basis: s57_structure_conditions_TOPSHP. Name: beacon top mark, white-red square board, vertical."
TOPMA107,"beacon top mark, red boarded square board, vertical",judge_pass_pending_final_approval,False,TOPSHP19,square,s57_structure_conditions_TOPSHP,0.99,"TOPMAR33,TOPMAR13","PortrayalCatalog/Symbols/TOPMAR33.svg,PortrayalCatalog/Symbols/TOPMAR13.svg",assets/svg/triad_generated/TOPMA107.svg,out/topmark_standards_pass/standard_svg/TOPSHP19.svg,"Render TOPMA107 as a Helm-owned topmark/daymark SVG. Match the official TOPSHP19 shape exactly for silhouette, count, and orientation: square. Use row colours/bands from metadata when present, but do not substitute a different topmark family. Compare against the standard shape witness first; row name is secondary. Basis: s57_structure_conditions_TOPSHP. Name: beacon top mark, red boarded square board, vertical."
TOPMA109,"beacon top mark, green boarded square board, diagonal",judge_pass_pending_final_approval,False,TOPSHP12,rhombus,s57_structure_conditions_TOPSHP,0.99,TOPMAR14,PortrayalCatalog/Symbols/TOPMAR14.svg,assets/svg/triad_generated/TOPMA109.svg,out/topmark_standards_pass/standard_svg/TOPSHP12.svg,"Render TOPMA109 as a Helm-owned topmark/daymark SVG. Match the official TOPSHP12 shape exactly for silhouette, count, and orientation: rhombus. Use row colours/bands from metadata when present, but do not substitute a different topmark family. Compare against the standard shape witness first; row name is secondary. Basis: s57_structure_conditions_TOPSHP. Name: beacon top mark, green boarded square board, diagonal."
TOPMA111,"beacon top mark, yellow St.Georg cross",judge_pass_pending_final_approval,False,TOPSHP08,upright cross,s57_structure_conditions_TOPSHP,0.99,"TOPMAR86,TOPMAR17","PortrayalCatalog/Symbols/TOPMAR86.svg,PortrayalCatalog/Symbols/TOPMAR17.svg",assets/svg/triad_generated/TOPMA111.svg,out/topmark_standards_pass/standard_svg/TOPSHP08.svg,"Render TOPMA111 as a Helm-owned topmark/daymark SVG. Match the official TOPSHP08 shape exactly for silhouette, count, and orientation: upright cross. Use row colours/bands from metadata when present, but do not substitute a different topmark family. Compare against the standard shape witness first; row name is secondary. Basis: s57_structure_conditions_TOPSHP. Name: beacon top mark, yellow St.Georg cross."
TOPMA113,"beacon top mark, yellow Andreas cross",judge_pass_pending_final_approval,False,TOPSHP07,X-shaped,s57_structure_conditions_TOPSHP,0.99,"TOPMAR85,TOPMAR65","PortrayalCatalog/Symbols/TOPMAR85.svg,PortrayalCatalog/Symbols/TOPMAR65.svg",assets/svg/triad_generated/TOPMA113.svg,out/topmark_standards_pass/standard_svg/TOPSHP07.svg,"Render TOPMA113 as a Helm-owned topmark/daymark SVG. Match the official TOPSHP07 shape exactly for silhouette, count, and orientation: X-shaped. Use row colours/bands from metadata when present, but do not substitute a different topmark family. Compare against the standard shape witness first; row name is secondary. Basis: s57_structure_conditions_TOPSHP. Name: beacon top mark, yellow Andreas cross."
TOPMA114,TOPMA114,judge_pass_pending_final_approval,False,TOPSHP05,cylinder,s57_structure_conditions_TOPSHP,0.99,"TOPMAR33,TOPMAR13","PortrayalCatalog/Symbols/TOPMAR33.svg,PortrayalCatalog/Symbols/TOPMAR13.svg",assets/svg/triad_generated/TOPMA114.svg,out/topmark_standards_pass/standard_svg/TOPSHP05.svg,"Render TOPMA114 as a Helm-owned topmark/daymark SVG. Match the official TOPSHP05 shape exactly for silhouette, count, and orientation: cylinder. Use row colours/bands from metadata when present, but do not substitute a different topmark family. Compare against the standard shape witness first; row name is secondary. Basis: s57_structure_conditions_TOPSHP. Name: TOPMA114."
TOPMA115,TOPMA115,judge_pass_pending_final_approval,False,TOPSHP01,"cone, point up",s57_structure_conditions_TOPSHP,0.99,"TOPMAR22,TOPMAR02","PortrayalCatalog/Symbols/TOPMAR22.svg,PortrayalCatalog/Symbols/TOPMAR02.svg",assets/svg/triad_generated/TOPMA115.svg,out/topmark_standards_pass/standard_svg/TOPSHP01.svg,"Render TOPMA115 as a Helm-owned topmark/daymark SVG. Match the official TOPSHP01 shape exactly for silhouette, count, and orientation: cone, point up. Use row colours/bands from metadata when present, but do not substitute a different topmark family. Compare against the standard shape witness first; row name is secondary. Basis: s57_structure_conditions_TOPSHP. Name: TOPMA115."
TOPMA116,"topmark, buoy, red-white-red board, entry prohibited",judge_pass_pending_final_approval,False,TOPSHP06,board,s57_structure_conditions_TOPSHP,0.99,"TOPMAR14,TOPMAR34","PortrayalCatalog/Symbols/TOPMAR14.svg,PortrayalCatalog/Symbols/TOPMAR34.svg",assets/svg/triad_generated/TOPMA116.svg,out/topmark_standards_pass/standard_svg/TOPSHP06.svg,"Render TOPMA116 as a Helm-owned topmark/daymark SVG. Match the official TOPSHP06 shape exactly for silhouette, count, and orientation: board. Use row colours/bands from metadata when present, but do not substitute a different topmark family. Compare against the standard shape witness first; row name is secondary. Basis: s57_structure_conditions_TOPSHP. Name: topmark, buoy, red-white-red board, entry prohibited."
