asset,name,kind,family,s57_object_class,s57_conditions,s52_instruction,s101_symbol_id,has_s101,has_aquamap,has_opencpn,canonical_svg,day_render,visual_parity
ACHARE02,"anchorage area as a point at small scale, or anchor points of mooring trot at large scale",symbol,wreck_rock_obstruction,OBSTRN,CATOBS9;VALSOU,SY(ACHARE02),ACHARE02,True,True,True,assets/svg/triad_generated/ACHARE02.svg,,repaired_pending_judge_rerun
ACHARE51,boundary of an anchorage area,symbol,areas_patterns_lines,ACHARE,,SY(ACHARE51);CS(RESARE02),ACHARE51,True,True,True,assets/svg/triad_generated/ACHARE51.svg,,repaired_pending_judge_rerun
ACHBRT07,designated anchor berth for a single vessel,symbol,ugly_attribute_edges,ACHBRT,,"SY(ACHBRT07);TE('%s','OBJNAM',3,1,2,'15110',1,0,CHBLK,29);LS(DASH,2,CHMGF)",ACHBRT07,True,True,True,assets/svg/triad_generated/ACHBRT07.svg,,repaired_pending_judge_rerun
ACHPNT01,anchor,symbol,ugly_attribute_edges,ACHPNT,,SY(ACHPNT01),,False,True,True,assets/svg/triad_generated/ACHPNT01.svg,,repaired_pending_judge_rerun
ACHRES61,"area where anchoring is prohibited or restricted, with other cautions",symbol,ugly_attribute_edges,$CSYMB,$SCODEACHRES61,SY(ACHRES61),ACHRES61,True,True,True,assets/svg/triad_generated/ACHRES61.svg,,repaired_pending_judge_rerun
ACHRES71,"area where anchoring is prohibited or restricted, with other information",symbol,ugly_attribute_edges,$CSYMB,$SCODEACHRES71,SY(ACHRES71),ACHRES71,True,True,True,assets/svg/triad_generated/ACHRES71.svg,,repaired_pending_judge_rerun
ADDMRK01,"additional mark, traiangle to the right",symbol,ugly_attribute_edges,notmrk,"catnmk55;fnctnm5;addmrk2,3,4",SY(NMKINF06);SY(ADDMRK01);SY(ADDMRK02);SY(ADDMRK05),,False,False,True,assets/svg/triad_generated/ADDMRK01.svg,,repaired_pending_judge_rerun
ADDMRK02,"additional mark, traiangle to the left",symbol,ugly_attribute_edges,notmrk,"catnmk55;fnctnm5;addmrk2,3,4",SY(NMKINF06);SY(ADDMRK01);SY(ADDMRK02);SY(ADDMRK05),,False,False,True,assets/svg/triad_generated/ADDMRK02.svg,,repaired_pending_judge_rerun
ADDMRK05,"additional mark, board, bottom",symbol,ugly_attribute_edges,notmrk,"catnmk55;fnctnm5;addmrk2,3,4",SY(NMKINF06);SY(ADDMRK01);SY(ADDMRK02);SY(ADDMRK05),,False,False,True,assets/svg/triad_generated/ADDMRK05.svg,,repaired_pending_judge_rerun
AIRARE02,pattern of symbols for an airport area,pattern,areas_patterns_lines,AIRARE,CONVIS1,"AC(LANDA);AP(AIRARE02);LS(SOLD,1,CHBLK)",AIRARE02,True,False,True,assets/svg/triad_generated/AIRARE02.svg,,repaired_pending_judge_rerun
AISDEF01,AIS target whose heading and course are both unknown,symbol,ugly_attribute_edges,$CSYMB,$SCODEAISDEF01,SY(AISDEF01),,False,False,True,assets/svg/triad_generated/AISDEF01.svg,,repaired_pending_judge_rerun
AISONE01,one minute mark for AIS vector,symbol,ugly_attribute_edges,$CSYMB,$SCODEAISONE01,SY(AISONE01),,False,False,True,assets/svg/triad_generated/AISONE01.svg,,repaired_pending_judge_rerun
AISSIX01,six minute mark for AIS vector,symbol,ugly_attribute_edges,$CSYMB,$SCODEAISSIX01,SY(AISSIX01),,False,False,True,assets/svg/triad_generated/AISSIX01.svg,,repaired_pending_judge_rerun
AISSLP01,sleeping AIS target,symbol,ugly_attribute_edges,$CSYMB,$SCODEAISSLP01,"SY(AISSLP01,ORIENT)",,False,False,True,assets/svg/triad_generated/AISSLP01.svg,,repaired_pending_judge_rerun
AISVES01,active AIS target showing vector and/or heading,symbol,ugly_attribute_edges,$CSYMB,$SCODEAISVES01,"SY(AISVES01,ORIENT)",,False,False,True,assets/svg/triad_generated/AISVES01.svg,,repaired_pending_judge_rerun
ARCSLN01,ARCSLN01,line-style,areas_patterns_lines,ARCSLN,,LC(ARCSLN01),,False,False,False,assets/svg/triad_generated/ARCSLN01.svg,,pending_reference_gap_judge
ARPATG01,ARPA target,symbol,ugly_attribute_edges,$CSYMB,$SCODEARPATG01,SY(ARPATG01),,False,False,True,assets/svg/triad_generated/ARPATG01.svg,,repaired_pending_judge_rerun
ARPONE01,one minute mark on ARPA vector,symbol,ugly_attribute_edges,$CSYMB,$SCODEARPONE01,"SY(ARPONE01,ORIENT)",,False,False,True,assets/svg/triad_generated/ARPONE01.svg,,repaired_pending_judge_rerun
ARPSIX01,six minute mark on ARPA vector,symbol,ugly_attribute_edges,$CSYMB,$SCODEARPSIX01,"SY(ARPSIX01,ORIENT)",,False,False,True,assets/svg/triad_generated/ARPSIX01.svg,,repaired_pending_judge_rerun
BCNCAR01,"cardinal beacon, north, simplified",symbol,buoy_beacon_marks,BCNCAR,CATCAM1,"SY(BCNCAR01);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNCAR01,True,True,True,assets/svg/triad_generated/BCNCAR01.svg,,pending_visual_model_and_human_review
BCNCAR02,"cardinal beacon, east, simplified",symbol,buoy_beacon_marks,BCNCAR,CATCAM2,"SY(BCNCAR02);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNCAR02,True,True,True,assets/svg/triad_generated/BCNCAR02.svg,,pending_visual_model_and_human_review
BCNCAR03,"cardinal beacon, south, simplified",symbol,buoy_beacon_marks,BCNCAR,CATCAM3,"SY(BCNCAR03);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNCAR03,True,True,True,assets/svg/triad_generated/BCNCAR03.svg,,pending_visual_model_and_human_review
BCNCAR04,"cardinal beacon, west, simplified",symbol,buoy_beacon_marks,BCNCAR,CATCAM4,"SY(BCNCAR04);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNCAR04,True,True,True,assets/svg/triad_generated/BCNCAR04.svg,,pending_visual_model_and_human_review
BCNCON81,BCNCON81,symbol,buoy_beacon_marks,BCNSPP,"BOYSHP1;COLPAT1,2;COLOUR5,3,1,5","SY(BCNCON81);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,False,assets/svg/triad_generated/BCNCON81.svg,,repaired_pending_judge_rerun
BCNDEF13,"default symbol for a beacon, simplified",symbol,buoy_beacon_marks,BCNSPP,CATSPM52,"SY(BCNDEF13);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNDEF13,True,False,True,assets/svg/triad_generated/BCNDEF13.svg,,repaired_pending_judge_rerun
BCNGEN01,"beacon in general, full-chart",symbol,buoy_beacon_marks,BCNLAT,BCNSHP5;CATLAM1,"SY(BCNGEN01);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNGEN01,True,False,True,assets/svg/triad_generated/BCNGEN01.svg,,repaired_pending_judge_rerun
BCNGEN03,"default symbol for beacon, paper-chart",symbol,buoy_beacon_marks,BCNCAR,,"SY(BCNGEN03);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNGEN03,True,False,True,assets/svg/triad_generated/BCNGEN03.svg,,repaired_pending_judge_rerun
BCNGEN05,"beacon in general, white, full-chart",symbol,buoy_beacon_marks,BCNSPP,COLOUR1,"SY(BCNGEN05);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN05.svg,,repaired_pending_judge_rerun
BCNGEN60,"beacon in general, red, full-chart",symbol,ugly_attribute_edges,bcnlat,BCNSHP5;COLOUR3,"SY(BCNGEN60);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN60.svg,,repaired_pending_judge_rerun
BCNGEN61,"beacon in general, green, full-chart",symbol,ugly_attribute_edges,bcnlat,BCNSHP5;COLOUR4,"SY(BCNGEN61);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN61.svg,,repaired_pending_judge_rerun
BCNGEN64,"beacon in general, red/white, full-chart",symbol,buoy_beacon_marks,BOYLAT,"BOYSHP5;COLOUR3,1,3,1","SY(BCNGEN64);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN64.svg,,repaired_pending_judge_rerun
BCNGEN65,"beacon in general, green/white, full-chart",symbol,buoy_beacon_marks,BOYLAT,"BOYSHP5;COLOUR4,1,4,1","SY(BCNGEN65);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN65.svg,,repaired_pending_judge_rerun
BCNGEN68,"beacon in general, black/yellow, full-chart",symbol,buoy_beacon_marks,BCNCAR,"COLOUR2,6","SY(BCNGEN68);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN68.svg,,repaired_pending_judge_rerun
BCNGEN69,"beacon in general, yellow/black, full-chart",symbol,buoy_beacon_marks,BCNCAR,"COLOUR6,2","SY(BCNGEN69);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN69.svg,,repaired_pending_judge_rerun
BCNGEN70,"beacon in general, black/yellow/back, full-chart",symbol,buoy_beacon_marks,BCNCAR,"COLOUR2,6,2","SY(BCNGEN70);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN70.svg,,repaired_pending_judge_rerun
BCNGEN71,"beacon in general, yellow/back/yellow, full-chart",symbol,buoy_beacon_marks,BCNCAR,"COLOUR6,2,6","SY(BCNGEN71);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN71.svg,,repaired_pending_judge_rerun
BCNGEN76,"beacon in general, black/red/back, full-chart",symbol,buoy_beacon_marks,BCNISD,"COLOUR2,3,2","SY(BCNGEN76);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN76.svg,,repaired_pending_judge_rerun
BCNGEN79,"beacon in general, orange, full-chart",symbol,buoy_beacon_marks,BCNSPP,COLOUR11,"SY(BCNGEN79);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN79.svg,,repaired_pending_judge_rerun
BCNGEN80,"beacon in general, orange, full-chart",symbol,buoy_beacon_marks,BCNSPP,COLOUR2,"SY(BCNGEN80);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNGEN80.svg,,repaired_pending_judge_rerun
BCNISD21,"isolated danger beacon, simplified",symbol,buoy_beacon_marks,BCNISD,,"SY(BCNISD21);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNISD21,True,True,True,assets/svg/triad_generated/BCNISD21.svg,,repaired_pending_judge_rerun
